age,type_of_travel,online_boarding,checkin_service,on-board_service,baggage_handling,inflight_service,leg_room_service,cleanliness,seat_comfort,inflight_wifi_service,arrival_delay_in_minutes,departure_delay_in_minutes,satisfaction
25,Business travel,3,1,1,3,4,5,1,1,3,6,1,neutral or dissatisfied
26,Business travel,5,4,4,4,4,3,5,5,2,0,0,satisfied
25,Business travel,2,1,2,3,4,5,2,2,2,9,11,neutral or dissatisfied
61,Business travel,5,3,3,4,3,4,3,5,3,0,0,satisfied
52,Business travel,5,4,5,5,5,5,4,5,4,0,4,satisfied
41,Business travel,3,4,1,1,1,2,2,3,1,0,0,neutral or dissatisfied
26,Business travel,4,5,5,4,4,3,4,4,3,51,49,satisfied
41,Business travel,4,3,5,5,5,5,5,4,4,10,0,satisfied
45,Business travel,4,3,5,5,5,5,4,5,4,5,7,satisfied
33,Business travel,5,5,4,3,4,4,2,3,1,0,0,satisfied
36,Business travel,2,2,3,3,3,3,2,1,3,12,18,neutral or dissatisfied
31,Business travel,5,1,5,3,5,4,5,5,4,0,0,satisfied
35,Business travel,4,4,3,5,3,4,4,4,4,120,109,satisfied
37,Business travel,3,1,4,3,4,1,1,1,3,0,9,neutral or dissatisfied
34,Business travel,4,4,5,5,5,4,5,2,3,0,0,neutral or dissatisfied
41,Business travel,1,4,3,4,4,3,1,1,1,0,0,neutral or dissatisfied
39,Business travel,5,4,4,4,4,4,3,5,4,0,0,satisfied
25,Business travel,3,5,4,5,5,4,3,3,3,23,9,neutral or dissatisfied
41,Business travel,5,4,4,4,4,4,3,3,0,0,0,satisfied
38,Business travel,1,2,5,5,5,5,4,4,3,0,0,satisfied
50,Business travel,5,4,3,3,3,3,5,5,1,15,1,satisfied
29,Business travel,5,5,4,5,4,2,5,5,1,0,4,satisfied
22,Personal Travel,2,4,4,4,5,5,4,4,2,0,0,neutral or dissatisfied
13,Business travel,1,1,3,3,4,5,1,1,1,0,0,neutral or dissatisfied
54,Business travel,2,4,5,5,5,5,3,3,3,0,8,satisfied
27,Business travel,4,4,3,4,5,4,4,4,3,1,0,satisfied
45,Business travel,5,3,4,4,4,4,5,5,2,48,51,satisfied
57,Business travel,4,4,5,5,5,5,5,5,0,5,0,satisfied
40,Business travel,5,3,5,5,5,5,4,5,5,0,0,satisfied
38,Business travel,3,2,1,4,3,1,4,4,3,26,39,neutral or dissatisfied
39,Business travel,2,2,2,4,4,1,3,3,2,0,0,neutral or dissatisfied
52,Business travel,4,4,4,4,4,4,3,4,2,0,0,satisfied
48,Business travel,4,4,5,5,5,5,4,4,3,0,0,satisfied
59,Business travel,4,3,4,4,4,4,4,4,5,15,30,satisfied
25,Business travel,5,4,5,4,4,4,4,4,3,0,4,satisfied
46,Business travel,4,5,5,5,5,5,4,5,2,0,0,satisfied
53,Business travel,4,4,5,5,5,5,5,5,4,0,0,satisfied
39,Business travel,2,5,5,4,5,4,5,5,2,2,0,neutral or dissatisfied
25,Business travel,5,4,4,5,5,2,1,1,5,1,1,satisfied
52,Business travel,4,1,2,2,2,2,4,3,2,6,0,neutral or dissatisfied
41,Business travel,2,4,3,3,5,5,3,4,2,0,0,neutral or dissatisfied
26,Business travel,4,4,4,5,4,2,4,4,1,48,45,satisfied
44,Business travel,3,2,3,4,4,2,5,5,3,8,0,neutral or dissatisfied
21,Business travel,4,4,3,4,5,4,1,1,4,0,0,satisfied
47,Business travel,5,5,4,4,4,4,4,5,2,50,44,satisfied
45,Business travel,1,3,4,4,4,4,1,3,3,0,0,satisfied
41,Business travel,5,4,3,4,4,4,2,2,5,19,31,satisfied
30,Business travel,4,4,2,3,2,2,4,4,4,72,81,neutral or dissatisfied
19,Personal Travel,3,1,2,3,3,1,3,3,3,0,0,neutral or dissatisfied
42,Business travel,3,3,5,4,4,2,3,4,3,27,22,satisfied
19,Business travel,5,5,5,1,4,5,4,4,5,0,0,satisfied
22,Business travel,5,3,3,4,1,4,5,5,5,0,0,satisfied
53,Business travel,5,4,4,4,4,5,3,5,5,3,0,satisfied
36,Business travel,3,4,4,4,4,4,1,4,4,13,30,neutral or dissatisfied
32,Business travel,1,4,1,2,3,1,1,1,1,0,0,neutral or dissatisfied
35,Business travel,5,5,4,4,4,4,4,1,2,0,0,satisfied
45,Business travel,5,5,2,2,2,2,5,4,1,0,0,satisfied
46,Business travel,3,4,4,4,4,4,4,4,4,0,4,neutral or dissatisfied
45,Business travel,5,3,4,4,4,4,5,5,5,9,4,satisfied
34,Business travel,4,5,4,4,4,4,3,1,3,0,0,satisfied
51,Business travel,5,3,4,4,4,4,5,5,2,8,17,satisfied
26,Business travel,4,4,4,4,5,5,2,2,4,11,4,satisfied
21,Business travel,2,1,3,3,3,3,3,3,3,0,0,neutral or dissatisfied
31,Business travel,3,3,2,2,4,2,3,3,3,0,0,neutral or dissatisfied
27,Business travel,5,3,5,5,5,2,5,5,2,0,0,satisfied
47,Business travel,4,3,5,5,5,5,5,5,3,0,0,satisfied
24,Business travel,3,2,4,2,2,2,3,3,3,0,0,neutral or dissatisfied
67,Business travel,3,1,1,1,1,1,1,3,1,0,0,neutral or dissatisfied
32,Business travel,4,3,4,1,5,1,4,4,2,0,0,satisfied
56,Business travel,3,3,3,3,3,3,4,2,3,0,0,neutral or dissatisfied
58,Personal Travel,3,3,1,1,1,5,3,5,3,0,0,neutral or dissatisfied
46,Business travel,5,5,5,5,5,5,3,5,1,7,1,satisfied
43,Business travel,4,3,3,3,3,4,4,4,2,7,0,satisfied
55,Business travel,5,4,4,1,4,1,3,5,0,0,0,satisfied
54,Personal Travel,4,3,3,3,3,5,4,4,4,0,0,neutral or dissatisfied
42,Business travel,4,5,2,2,2,2,3,5,5,10,0,satisfied
47,Business travel,3,1,1,1,1,1,4,4,1,15,13,neutral or dissatisfied
29,Business travel,1,4,4,4,4,4,5,5,1,0,0,neutral or dissatisfied
50,Business travel,4,4,5,5,5,5,3,5,4,0,0,satisfied
60,Business travel,5,5,3,3,3,4,1,1,2,0,0,satisfied
57,Business travel,4,4,3,4,3,5,4,4,2,0,0,satisfied
42,Business travel,5,4,3,3,3,4,3,4,2,11,27,satisfied
45,Business travel,4,3,5,5,5,5,4,5,2,0,0,satisfied
39,Business travel,4,4,4,4,4,4,3,5,3,0,7,satisfied
49,Business travel,4,4,4,4,4,4,5,5,0,0,0,satisfied
52,Business travel,4,5,4,4,4,4,5,5,5,20,24,satisfied
25,Business travel,3,5,3,4,4,2,3,3,4,0,0,satisfied
16,Business travel,3,2,2,3,3,4,3,3,3,0,0,neutral or dissatisfied
58,Business travel,4,5,4,4,4,4,4,5,1,0,0,satisfied
8,Business travel,4,4,4,4,3,5,3,3,4,7,0,neutral or dissatisfied
42,Business travel,4,4,4,4,3,5,4,4,3,125,141,satisfied
52,Business travel,4,2,4,4,4,3,4,4,4,0,0,neutral or dissatisfied
41,Business travel,5,5,4,4,4,4,2,4,1,0,0,satisfied
41,Business travel,4,3,4,4,4,4,4,4,2,0,6,satisfied
12,Personal Travel,2,3,1,5,2,3,1,1,2,0,0,neutral or dissatisfied
43,Business travel,5,3,4,4,4,4,5,4,3,0,0,satisfied
57,Business travel,3,4,2,3,2,2,2,4,3,0,0,neutral or dissatisfied
13,Personal Travel,2,5,4,2,5,5,1,1,2,18,0,neutral or dissatisfied
45,Business travel,5,3,5,5,5,5,4,5,5,0,17,satisfied
43,Business travel,4,5,5,5,5,5,3,4,5,0,0,satisfied
23,Business travel,5,3,1,1,3,3,5,5,4,3,0,satisfied
46,Business travel,1,2,5,5,5,5,3,2,2,0,1,satisfied
40,Business travel,3,4,3,4,3,3,3,4,4,2,7,neutral or dissatisfied
19,Business travel,4,4,4,4,4,4,4,4,5,0,0,satisfied
64,Business travel,3,4,2,2,2,3,4,3,2,0,0,neutral or dissatisfied
38,Business travel,1,4,4,4,4,4,1,5,2,0,0,satisfied
41,Business travel,4,3,4,4,4,4,4,5,2,0,0,satisfied
49,Business travel,5,5,4,4,4,4,3,5,3,0,10,satisfied
43,Business travel,4,1,2,3,2,2,2,3,3,0,0,neutral or dissatisfied
49,Business travel,2,4,3,5,4,5,3,3,2,6,11,neutral or dissatisfied
45,Business travel,5,4,5,5,5,5,4,4,1,0,0,satisfied
28,Business travel,5,1,2,1,2,3,5,5,5,5,9,satisfied
60,Business travel,4,1,4,4,4,4,2,5,4,0,0,satisfied
35,Business travel,3,4,2,2,2,2,3,2,2,9,0,neutral or dissatisfied
38,Business travel,3,5,5,4,5,4,4,4,3,28,29,neutral or dissatisfied
48,Business travel,2,2,4,4,4,4,1,3,4,0,0,satisfied
23,Business travel,5,3,2,4,3,5,5,3,5,0,9,satisfied
32,Business travel,4,3,4,4,3,2,4,4,4,3,0,neutral or dissatisfied
65,Personal Travel,5,5,4,4,4,1,3,4,1,20,37,neutral or dissatisfied
48,Business travel,5,4,5,5,5,5,5,5,1,0,0,satisfied
60,Business travel,4,3,4,4,4,4,3,5,4,61,66,satisfied
31,Business travel,3,4,3,3,4,4,3,3,3,48,53,neutral or dissatisfied
34,Business travel,1,5,5,5,5,5,5,5,5,11,0,satisfied
45,Business travel,4,4,4,4,4,4,3,4,2,0,0,satisfied
51,Business travel,3,4,2,2,2,2,1,4,2,0,0,neutral or dissatisfied
22,Business travel,5,5,3,4,4,4,5,5,2,28,36,satisfied
33,Business travel,3,5,4,5,5,5,4,4,3,0,12,neutral or dissatisfied
46,Personal Travel,5,3,4,4,4,4,3,4,4,32,13,neutral or dissatisfied
54,Business travel,5,4,5,5,5,5,4,5,2,0,1,satisfied
37,Business travel,4,1,2,2,2,2,4,3,2,0,0,neutral or dissatisfied
35,Business travel,2,3,5,3,5,5,3,1,2,6,6,satisfied
26,Business travel,5,4,4,5,4,2,4,4,4,13,0,satisfied
58,Business travel,5,5,3,3,3,3,3,5,1,0,0,satisfied
60,Business travel,2,2,3,3,3,3,2,2,3,15,15,neutral or dissatisfied
43,Business travel,5,5,3,3,3,3,5,4,0,41,39,satisfied
30,Business travel,4,5,5,4,5,5,5,5,1,0,7,satisfied
40,Business travel,4,4,3,5,5,5,4,4,3,191,209,satisfied
47,Business travel,4,4,5,5,5,5,4,5,2,2,0,satisfied
38,Business travel,4,3,4,4,4,4,2,3,4,37,60,neutral or dissatisfied
22,Business travel,2,3,2,3,3,4,2,2,2,53,0,neutral or dissatisfied
37,Business travel,5,3,4,5,4,4,4,4,5,0,11,satisfied
39,Business travel,4,4,3,4,4,4,4,2,4,7,0,satisfied
46,Business travel,4,5,4,4,4,4,5,4,4,0,1,satisfied
36,Business travel,5,5,5,5,5,5,3,5,2,65,62,satisfied
60,Business travel,4,3,4,4,4,4,3,4,3,4,23,satisfied
41,Business travel,3,3,4,4,4,3,5,3,3,0,10,satisfied
45,Business travel,5,4,4,4,4,4,3,5,2,0,8,satisfied
45,Business travel,5,5,4,4,4,4,5,5,4,0,0,satisfied
30,Business travel,3,3,2,3,4,4,2,2,2,12,27,neutral or dissatisfied
32,Business travel,4,3,3,5,4,4,4,4,2,11,28,satisfied
30,Business travel,2,3,5,5,4,3,2,2,0,28,38,satisfied
40,Business travel,1,5,2,5,2,4,4,2,1,0,0,neutral or dissatisfied
42,Business travel,5,4,4,4,4,4,3,4,5,92,83,satisfied
52,Business travel,5,5,4,4,3,4,5,5,5,32,15,satisfied
50,Business travel,4,4,5,5,5,5,3,4,5,0,0,satisfied
30,Business travel,4,3,4,4,5,3,5,5,3,0,0,satisfied
37,Business travel,4,4,4,4,5,4,4,4,4,0,0,satisfied
21,Business travel,5,3,5,5,4,4,2,2,5,0,0,satisfied
52,Business travel,4,1,3,3,3,3,3,4,3,8,0,neutral or dissatisfied
52,Business travel,5,4,5,5,5,5,3,4,5,2,4,satisfied
28,Business travel,5,5,3,4,5,2,5,5,1,0,0,satisfied
58,Business travel,4,4,4,4,4,4,5,5,3,0,18,satisfied
25,Business travel,2,4,4,3,3,5,2,2,2,0,0,neutral or dissatisfied
44,Business travel,5,2,5,5,5,5,3,3,5,0,0,satisfied
20,Business travel,5,4,5,4,4,2,1,1,5,0,0,satisfied
72,Business travel,4,1,2,2,2,2,4,4,2,0,0,neutral or dissatisfied
25,Business travel,4,4,5,3,2,3,4,4,4,164,176,neutral or dissatisfied
16,Business travel,3,2,1,3,4,5,1,3,3,0,0,neutral or dissatisfied
36,Business travel,2,3,5,5,4,4,5,5,2,0,0,neutral or dissatisfied
55,Personal Travel,4,4,3,2,3,2,5,4,4,0,0,neutral or dissatisfied
50,Business travel,4,1,2,2,2,2,4,4,2,0,0,neutral or dissatisfied
45,Business travel,5,5,5,5,5,5,3,4,5,5,0,satisfied
57,Business travel,5,4,5,5,5,5,4,5,1,5,19,satisfied
50,Business travel,3,3,3,3,3,3,5,5,3,24,46,satisfied
34,Business travel,3,3,5,5,5,4,3,5,2,0,13,satisfied
45,Business travel,5,3,5,5,5,5,4,4,4,6,0,satisfied
59,Business travel,4,5,2,2,2,2,4,5,2,3,0,satisfied
28,Business travel,2,2,2,3,4,2,2,2,2,0,0,neutral or dissatisfied
22,Business travel,4,4,5,4,4,3,4,4,2,2,7,satisfied
55,Business travel,5,5,3,3,3,3,5,5,3,0,0,satisfied
46,Business travel,4,3,4,4,4,4,4,4,3,0,0,satisfied
53,Business travel,5,5,5,5,5,5,4,4,5,0,0,satisfied
50,Business travel,5,5,5,5,5,5,4,4,3,0,0,satisfied
57,Business travel,4,4,4,4,4,4,3,2,5,6,0,satisfied
54,Business travel,5,3,3,3,3,4,5,4,3,0,0,satisfied
42,Business travel,4,5,5,4,5,5,5,5,1,0,0,satisfied
53,Business travel,4,3,4,4,4,4,3,4,1,0,1,satisfied
49,Business travel,4,5,4,4,4,4,4,5,2,21,22,satisfied
30,Business travel,2,4,1,2,2,2,2,1,1,7,5,neutral or dissatisfied
46,Business travel,4,5,5,5,5,5,4,4,4,0,0,satisfied
51,Business travel,3,4,2,2,2,2,2,4,2,62,73,neutral or dissatisfied
26,Business travel,2,4,4,4,4,3,5,2,2,52,53,neutral or dissatisfied
46,Business travel,4,5,4,4,4,4,3,5,3,0,0,satisfied
25,Business travel,4,4,3,5,5,2,4,4,4,0,0,satisfied
63,Business travel,1,4,4,4,4,4,3,5,2,0,0,satisfied
48,Business travel,5,5,4,4,4,4,3,5,1,4,0,satisfied
43,Business travel,5,5,4,4,4,4,4,5,3,0,0,satisfied
35,Business travel,4,3,4,4,4,4,5,5,5,40,54,satisfied
32,Business travel,4,3,5,5,4,2,4,4,4,0,0,satisfied
51,Business travel,3,2,3,2,3,3,2,3,2,0,0,neutral or dissatisfied
32,Business travel,5,1,4,5,5,2,5,5,1,0,0,satisfied
